Town/City,Clerk,Address,Phone (Area Code 603),Fax,E-Mail,Town Website Address,Polling Hours,Polling Place
SANDWICH,ALISON JULIA GAGE,PO BOX 194 SANDWICH 03227,284-7113,284-6819,TCTC@SANDWICHNH.ORG,SANDWICHNH.ORG,10:00 AM - 7:00 PM,SANDWICH TOWN HALL 8 MAPLE ST SANDWICH 03227
SARGENT'S PURCHASE,CHRISTINA ZORNIO,20 PARK STREET SARGENT'S PURCHASE 03581,466-2744,466-2744,CZORNIO@GORHAMNH.ORG,WWW.GORHAMNH.ORG,Not Applicable,GORHAM TOWN HALL 20 PARK ST SARGENT'S PURCHASE 03581
SEABROOK,SHAYNA D MERRILL,99 LAFAYETTE RD SEABROOK 03874,474-3152,Not Applicable,SMERRILL@SEABROOKNH.ORG,WWW.SEABROOKNH.INFO,7:00 AM - 7:00 PM,SEABROOK COMMUNITY CENTER 311 LAFAYETTE RD SEABROOK 03874
SECOND COLLEGE GRANT,DONNA M DEMERS,PO BOX 100 SECOND COLLEGE GRANT 03579,482-3351,482-3804,ERROLTOWNCLERK@GMAIL.COM,Not Applicable,Not Applicable,ERROL TOWN HALL 33 MAIN STREET ERROL - FOR POLLING PLACE ONLY SECOND COLLEGE GRANT 03579
SHARON,DIANNE E MITCHELL,432 NH RTE 123 SHARON 03458,924-9250,Not Applicable,SHARONTOWNCLERK@GMAIL.COM,WWW.SHARONNH.ORG,11:00 AM - 7:00 PM,SHARON MEETING HOUSE 432 RT 123 SHARON 03458
SHELBURNE,LEONA KEALTY,74 VILLAGE ROAD SHELBURNE 03581,466-2262,466-5271,TCTX@TOWNOFSHELBURNENH.GOV,WWW.TOWNOFSHELBURNENH.GOV,11:00 AM - 7:00 PM,SHELBURNE TOWN HALL 74 VILLAGE RD SHELBURNE 03581
SOMERSWORTH WARD 01,KRISTEN LAPANNE,1 GOVERNMENT WAY SOMERSWORTH 03878,692-9511,692-9574,KLAPANNE@SOMERSWORTHNH.GOV,WWW.SOMERSWORTHNH.GOV,7:00 A.M. - 7:00 PM,CITY HALL 1 GOVERNMENT WAY SOMERSWORTH 03878
SOMERSWORTH WARD 02,KRISTEN LAPANNE,1 GOVERNMENT WAY SOMERSWORTH 03878,692-9511,692-9574,KLAPANNE@SOMERSWORTHNH.GOV,WWW.SOMERSWORTHNH.GOV,7:00 A.M. - 7:00 PM,SUMMERSWORTH HISTORICAL MUSEUM 157 MAIN ST SOMERSWORTH 03878
SOMERSWORTH WARD 03,KRISTEN LAPANNE,1 GOVERNMENT WAY SOMERSWORTH 03878,692-9511,692-9574,KLAPANNE@SOMERSWORTHNH.GOV,WWW.SOMERSWORTHNH.GOV,7:00 A.M. - 7:00 PM,SOMERSWORTH HIGH SCHOOL 11 MEMORIAL DR SOMERSWORTH 03878
SOMERSWORTH WARD 04,KRISTEN LAPANNE,1 GOVERNMENT WAY SOMERSWORTH 03878,692-9511,692-9574,KLAPANNE@SOMERSWORTHNH.GOV,WWW.SOMERSWORTHNH.GOV,7:00 A.M. - 7:00 PM,IDLEHURST ELEMENTARY SCHOOL 46 STACKPOLE RD SOMERSWORTH 03878
SOMERSWORTH WARD 05,KRISTEN LAPANNE,1 GOVERNMENT WAY SOMERSWORTH 03878,692-9511,692-9574,KLAPANNE@SOMERSWORTHNH.GOV,WWW.SOMERSWORTHNH.GOV,07:00 AM - 07:00 PM,CHARPENTIER APARTMENTS - COMMUNITY ROOM 28 FRANKLIN ST SOMERSWORTH 03878
SOUTH HAMPTON,ANDREA CONDON,3 HILLDALE AVE SOUTH HAMPTON 03827,394-7696,394-2134,TCTX@SOUTHHAMPTONNH.ORG,SOUTHHAMPTONNH.ORG,11:00 AM - 08:00 PM,SOUTH HAMTPN TOWN HALL 3 HILLDALE AVE SOUTH HAMPTON 03827
SPRINGFIELD,ANNIKA M MUNHOLAND,PO BOX 22 SPRINGFIELD 03284,763-4805,Not Applicable,TOWNCLERK@SPRINGFIELDNH.ORG,WWW.SPRINGFIELDNH.ORG,11:00 AM - 7:00 PM,SPRINGFIELD MEETING HOUSE 23 FOUR CORNERS RD SPRINGFIELD 03284
STARK,PATRICIA STYLES PEEL,1189 STARK HIGHWAY STARK 03582,636-2118,636-6199,PATTY@TOWNOFSTARK.COM,STARKNH.GOV,9:00 AM - 7:00 PM,STARK VOLUNTEER FIRE DEPARTMENT 1276 STARK HWY STARK 03582
STEWARTSTOWN,RITA M HIBBARD,888 WASHINGTON ST STEWARTSTOWN 03597,246-3329,246-3329,TOWNOFSTEWARTSTOWN@GMAIL.COM,Not Applicable,10:00 AM - 6:00 PM,STEWARTSTOWN TOWN OFFICE 888 WASHINGTON ST STEWARTSTOWN 03597
STODDARD,MCNEAL F NANCY,1450 ROUTE 123 N STODDARD 03464,446-3326,446-2278,CLERKTAX@STODDARDNH.ORG,WWW.STODDARDNH.ORG,11:00 AM - 7:00 PM,STODDARD TOWN HALL 1450 ROUTE 123 NORTH STODDARD 03464
STRAFFORD,TERRI LYN MARSH,PO BOX 169 STRAFFORD 03884,664-2192,664-7276,TOWNCLERK@STRAFFORD.NH.GOV,WWW.STRAFFORD.NH.GOV,8:00 AM - 7:00 PM,STRAFFORD TOWN HALL 12 MOUNTAIN VIEW DR STRAFFORD 03884
STRATFORD,MARYANN F LISTER,PO BOX 366 STRATFORD 03590,922-5546,922-3317,TCTX@STRATFORDNH.GOV,WWW.STRATFORDNH.GOV,10:00 AM - 7:00 PM,FULLER TOWN HALL 1956 US ROUTE 3 STRATFORD 03590
STRATHAM,DEBORAH L BAKIE,10 BUNKER HILL AVE STRATHAM 03885,772-4741,775-0517,DBAKIE@STRATHAMNH.GOV,WWW.STRATHAMNH.GOV,7:00AM - 7:00PM,STRATHAM MEMORIAL SCHOOL 39 GIFFORD FARM RD STRATHAM 03885
SUCCESS,LEONA KEALTY,74 VILLAGE RD SHELBURNE - FOR POLLING LOCATION ONLY SUCCESS 03581,466-2262,466-5271,TCTX@TOWNOFSHELBURNENH.GOV,HTTPS://WWW.TOWNOFSHELBURNENH.GOV/,4:00 PM - 8:00 PM,SHELBURNE TOWN HALL 74 VILLAGE RD SHELBURNE - FOR POLLING LOCATION ONLY SUCCESS 03581
SUGAR HILL,LISSA MACK BOISSONNEAULT,PO BOX 574 SUGAR HILL 03586,823-8516,823-8446,TOWNCLERK@SUGARHILLNH.ORG,WWW.SUGARHILLNH.ORG,08:00 AM - 07:00 PM,CAROLINA CRAPO BUILDING 1411 ROUTE 117 SUGAR HILL 03586
SUGAR HILL,LISSA MACK BOISSONNEAULT,PO BOX 574 SUGAR HILL 03586,823-8516,823-8446,TOWNCLERK@SUGARHILLNH.ORG,WWW.SUGARHILLNH.ORG,12:00 PM - 6:30PM,SUGAR HILL MEETING HOUSE 0000 ROUTE 117 SUGAR HILL 03586
SULLIVAN,JASON E TAYLOR,PO BOX 110 SULLIVAN 03445,847-3316,847-9154,TOWNCLERK@TOWNOFSULLIVANNH.COM,TOWNOFSULLIVANNH.COM,8:00 AM - 7:00 PM,SULLIVAN TOWN HALL 452 CENTRE ST SULLIVAN 03445
SUNAPEE,JOSHUA P BOONE,PO BOX 303 SUNAPEE 03782,763-2449,Not Applicable,JOSHUA@SUNAPEENH.GOV,WWW.SUNAPEENH.GOV,8:00AM - 7:00 PM,SHERBURNE GYMNASIUM 555 ROUTE 11 SUNAPEE 03782
SURRY,CHRISTINA MARIE HAMMOND,235 Route 12A SURRY 03431,352-3075,357-4890,depclerk@surry.nh.gov,SURRY.NH.GOV,11:00 AM - 7:00 PM,SURRY TOWN HALL 1 VILLAGE RD SURRY 03431
SUTTON,BETH-HOLLY LADUKE,93 MAIN STREET SUTTON 03221,927-2401,927-4646,TOWNCLERK@SUTTON-NH.ORG,WWW.SUTTON-NH.ORG,8:00 AM - 7:00 PM,SUTTON TOWN HALL 93 MAIN ST SUTTON 03221
SWANZEY,HEATHER ESTRELLA,PO BOX 10009 SWANZEY 03446,352-7411,352-6250,TOWNCLERK@SWANZEYNH.GOV,WWW.SWANZEYNH.GOV,08:00AM - 07:00PM,MONADNOCK REGIONAL HIGH SCHOOL 580 OLD HOMESTEAD HWY SWANZEY 03446
TAMWORTH,KIM TRAMMELL,84 MAIN STREET TAMWORTH 03886,323-7971,323-2347,TCTX@TAMWORTHNH.GOV,WWW.TAMWORTHNH.GOV,8:00 AM - 7:00 PM,K A BRETT SCHOOL 881 TAMWORTH RD TAMWORTH 03886
TEMPLE,STACEY C CLARK,PO BOX 69 TEMPLE 03084,878-3873,878-5067,TOWNCLERK@TEMPLENH.GOV,TEMPLENH.ORG,7:00 AM - 7:00 PM,TEMPLE TOWN HALL 19 MAIN ST TEMPLE 03084
THOMPSON & MESERVE'S PURCHASE,CHRISTINA ZORNIO,20 PARK ST THOMPSON & MESERVE'S PURCHASE 03581,466-2744,466-2744,CZORNIO@GORHAMNH.ORG,Not Applicable,Not Applicable,GORHAM TOWN HALL 20 PARK ST GORHAM - FOR POLLING LOCATION ONLY THOMPSON & MESERVE'S PURCHASE 03581
THORNTON,ANITA C ROSS,16 MERRILL ACCESS RD. THORNTON 03285,726-4232,726-2078,TOWNCLERK@THORNTONNH.GOV,WWW.TOWNOFTHORNTON.ORG,8:00 AM - 7:00 PM,THORNTON CENTRAL SCHOOL 1886 NH ROUTE 175 RTE THORNTON 03285
THORNTON,ANITA C ROSS,16 MERRILL ACCESS RD. THORNTON 03285,726-4232,726-2078,TOWNCLERK@THORNTONNH.GOV,WWW.TOWNOFTHORNTON.ORG,8:00AM - 7:00PM,THORNTON STATION MEETING HALL 12 MERRILL ACCESS RD THORNTON 03285
THORNTON,ANITA C ROSS,16 MERRILL ACCESS RD. THORNTON 03285,726-4232,726-2078,TOWNCLERK@THORNTONNH.GOV,WWW.TOWNOFTHORNTON.ORG,8:00AM - 7:00PM,THORNTON STATION MEETING HALL 12 MERRILL ACCESS RD THORNTON 03285
TILTON,KIM SOWLES,257 MAIN ST TILTON 03276,286-4425,286-7817,KSOWLES@TILTONNH.ORG,WWW.TILTONNH.ORG,7:00 AM - 7:00 PM,WINNISQUAM HIGH SCHOOL 435 W MAIN ST TILTON 03276
TROY,CHRISTINA R HOPKINS,PO BOX 249 TROY 03465,242-3845,242-3430,TAXCOLLECTOR@TROY-NH.US,WWW.TROY-NH.US,10:00 AM - 7:00 PM,COMMUNITY CENTER 61 SOUTH ST TROY 03465
TUFTONBORO,JENNIFER M COULTER,po box 407 TUFTONBORO 03850,569-4539,569-4328,TOWNCLERK@TUFTONBORONH.GOV,WWW.TUFTONBORONH.GOV,08:00 AM - 7:00 PM,TUFTONBORO TOWN HOUSE 247 MIDDLE RD TUFTONBORO 03816
UNITY,RAMONA LABRIE,13 CENTER ROAD UNITY 03603,542-9665,542-9736,TOWNCLERK@TOWNOFUNITYNH.ORG,WWW.TOWNOFUNITYNH.ORG,8:00 AM - 7:00 PM,UNITY TOWN HALL 896 2ND NH TPKE UNITY 03603
WAKEFIELD,VALERIE WARD,2 HIGH ST WAKEFIELD 03872,522-6205,522-6794,TOWNCLERK@WAKEFIELDNH.COM,WWW.WAKEFIELDNH.COM,8:00 AM - 7:00 PM,PAUL SCHOOL 60 TAYLOR WAY WAKEFIELD 03872
WAKEFIELD,VALERIE WARD,2 HIGH ST WAKEFIELD 03872,522-6205,522-6794,TOWNCLERK@WAKEFIELDNH.COM,WWW.WAKEFIELDNH.COM,8:00 AM - 7:00 PM,WAKEFIELD TOWN HALL OPERA HOUSE 2 HIGH ST WAKEFIELD 03872
WALPOLE WARD 01,MEGHAN H HANSSON,PO BOX 756 WALPOLE 03608,756-3514,Not Applicable,MHANSSON@WALPOLENH.US,WWW.WALPOLENH.US,7:00 AM - 7:00 PM,WALPOLE TOWN HALL 34 ELM ST WALPOLE 03608
WALPOLE WARD 02,MEGHAN H HANSSON,PO BOX 756 WALPOLE 03608,756-3514,Not Applicable,MHANSSON@WALPOLENH.US,WWW.WALPOLENH.US,7 A M - 7 P M,ST PETERS CHURCH 38 CHURCH ST WALPOLE 03609
WARNER,MICHELE L COURSER,PO BOX 265 WARNER 03278,456-2298,456-2297,TOWNCLERK@WARNERNH.GOV,WWW.WARNERNH.GOV,7:00 AM - 7:00 PM,WARNER TOWN HALL 5 EAST MAIN ST WARNER 03278
WARREN,SUZANNE M FLAGG,PO BOX 40 WARREN 03279,764-7705,764-9296,WARRENTOWNCLERK@GMAIL.COM,WWW.WARREN-NH.COM,9:00 AM - 7:00 PM,TOWN HALL 21 WATER ST WARREN 03279
WASHINGTON,SUELLEN LEISCHNER,7 HALFMOON POND RD WASHINGTON 03280,495-3667,495-1739,SLEISCHNER@WASHINGTONNH.ORG,WWW.WASHINGTONNH.ORG,8:00 AM - 7:00 PM,CAMP MORGAN LODGE 339 MILLEN POND RD WASHINGTON 03280
WATERVILLE VALLEY,TERRY A. WAITE,PO BOX 500 WATERVILLE VALLEY 03215,236-4730,236-2056,CLERK@WATERVILLEVALLEYNH.GOV,WWW.WATERVILLEVALLEYNH.GOV,10:30 AM - 4:30 PM,RECREATION DEPARTMENT 11 NOON PEAK RD WATERVILLE VALLEY 03215
WEARE,PAMELA J MOUL,15 FLANDERS MEMORIAL RD WEARE 03281,529-7527,529-4554,PMOUL@WEARENH.GOV,WWW.WEARENH.GOV,7:00 AM - 7:00 PM,WEARE MIDDLE SCHOOL 16 EAST RD WEARE 03281
WEBSTER,MARY L WELCH,945 BATTLE ST WEBSTER 03303,648-2053,648-6055,TOWNCLERK@WEBSTER-NH.GOV,WWW.WEBSTER-NH.GOV,10:00AM - 7:00PM,WEBSTER TOWN HALL 945 BATTLE ST WEBSTER 03303
WENTWORTH,DEBORAH A ZIEMBA,P.O. BOX 2 WENTWORTH 03282,764-5244,764-9362,TOWNCLERK@WENTWORTH-NH.ORG,WWW.WENTWORTH-NH.ORG,11:00 AM - 7:00 PM,WENTWORTH ELEMENTARY SCHOOL 1247 MOUNT MOOSILAUKE HWY WENTWORTH 03282
WENTWORTH'S LOCATION,DONNA M DEMERS,PO BOX 100 WENTWORTH'S LOCATION 03579,482-3351,482-3804,ERROLTOWNCLERK@GMAIL.COM,Not Applicable,11:00 AM - 7:00 PM,ERROL TOWN HALL 33 MAIN ST WENTWORTH'S LOCATION 03579
WESTMORELAND,ELLIS G CHASE-PINKNEY,PO BOX 111 WESTMORELAND 03467,399-7211,762-5489,TOWN.CLERK@WESTMORELANDNH.GOV,WWW.WESTMORELANDNH.COM,11:00 AM - 7:00 PM,WESTMORELAND TOWN HALL 780 ROUTE 63 WESTMORELAND 03467
WHITEFIELD,TINA L WRIGHT,56 LITTLETON ROAD WHITEFIELD 03598,837-9871,837-3148,TOWNCLERK@WHITEFIELDNH.GOV,WWW.WHITEFIELDNH.GOV,8:00AM - 6:00PM,CD MCINTYRE BUILDING 16 HIGHLAND ST WHITEFIELD 03598
WILMOT,LISA LAMSON,PO BOX 94 WILMOT 03287,526-9639,526-4067,WILMOT_TC@WILMOTNH.ORG,WWW.WILMOTNH.ORG,8:00 AM - 7:00 PM,WILMOT TOWN HALL 9 NORTH WILMOT RD WILMOT 03287
WILTON,JANE FARRELL,PO BOX 83 WILTON 03086,654-9451,654-6663,TCTC@WILTONNH.GOV,WWW.WILTONNH.GOV,8:00 AM - 7:00 PM,WILTON TOWN HALL 42 MAIN ST WILTON 03086
WINCHESTER,JAMES M TETREAULT,PO BOX 512 WINCHESTER 03470,239-6233,239-4146,JTETREAULT@WINCHESTER.NH.GOV,WWW.WINCHESTER-NH.GOV,8:00 AM - 7:00 PM,WINCHESTER TOWN HALL 81 PARKER ST WINCHESTER 03470
WINDHAM,CANDIS JULIE JOHNSON,3 NORTH LOWELL ROAD WINDHAM 03087,434-5075,965-1275,TOWNCLERK@WINDHAMNH.GOV,WWW.WINDHAMNH.GOV,7:00 AM - 8:00 PM,WINDHAM HIGH SCHOOL 64 LONDON BRIDGE RD WINDHAM 03087
WINDSOR,MELISSA L MERRILL,14 WHITE POND ROAD WINDSOR 03244,478-3292,478-3293,TOWNCLERK@WINDSORNH.ORG,WINDSORNH.ORG,11:00 AM - 7:00 PM,WINDSOR TOWN HALL 14 WHITE POND RD WINDSOR 03244
WOLFEBORO,PATRICIA M WATERMAN,84 south main street WOLFEBORO 03894,569-5328,569-8178,TOWNCLERK@WOLFEBORONH.US,WWW.WOLFEBORONH.US,8:00 AM - 7:00 PM,WOLFEBORO TOWN HALL 84 S MAIN ST WOLFEBORO 03894
WOODSTOCK,JUDY LYNN WELCH,PO BOX 156 WOODSTOCK 03262,745-8752,745-2393,TOWNCLERK@WOODSTOCKNH.GOV,WWW.WOODSTOCKNH.GOV,10AM - 6PM,WOODSTOCK TOWN HALL 924 DANIEL WEBSTER HWY WOODSTOCK 03262
